name,ra,dec,sn_type,max_epoch,max_mag,max_mag_flag,max_mag_band,redshift,radial_velocity,mult_sn_flag,unconfirmed_flag,galaxy_name,galaxy_ra_j2000,galaxy_dec_j2000,lii,bii,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,ra_offset,ra_offset_dir,dec_offset,dec_offset_flag,dec_offset_dir,max_epoch_flag,
SN 1999ec,06 16 16.18,-21 22 10.1,Iac,1999-10-02,17.90,D,,,2747,Y,,NGC2207,06 16 22,-21 22 21,228.67245,-17.02765,,SBbc,4.3,54,141,,,12.57,1.64,81.70,W,12.10,,N,D,
SN 1982E,03 26 17.00,-21 20 09.0,,1982-03-29,14.00,D,,,1526,,,NGC1332,03 26 17,-21 20 09,212.18311,-54.36746,G,E/S0,-3.0,,148,,,11.25,1.60,318.00,E,171.00,,N,D,
SN 1999gh,09 44 19.75,-21 16 25.0,Ia,1999-11-11,14.46,,B,,2310,,,NGC2986,09 44 16,-21 16 42,255.04780,23.73606,,E2,-5.0,,105,,,11.72,1.50,52.00,W,15.80,,N,,
SN 2006ce,02 22 54.63,-21 14 29.4,Ia,2006-05-10,12.40,D,,,1501,Y,,NGC 908,02 23 05,-21 14 00,202.12237,-68.36125,,SBc,5.1,65,75,,,10.73,1.78,136.00,W,28.00,,S,D,
SN 1994ai,02 23 06.17,-21 13 58.3,Ic,1994-12-20,17.00,D,,,1501,Y,,NGC 908,02 23 05,-21 14 00,202.14253,-68.31622,,SBc,5.1,65,75,,,10.73,1.78,24.00,E,4.00,,N,D,
SN 2001bc,09 46 07.06,-21 11 28.6,II,2001-04-20,23.40,D,B,0.1950,,,,A094607-2111,09 46 07,-21 11 28,255.30665,24.08888,,,,,,,,,,0.00,,0.00,,,D,
SN 2003bn,10 02 35.51,-21 10 54.5,II,2003-02-27,16.70,D,,,3800,,,A100235-2110,10 02 35,-21 10 54,258.38632,26.73672,,,,,,,,,,3.20,E,1.00,,S,D,
SN 2007fv,23 03 51.58,-21 08 52.2,II,2007-07-13,19.70,D,R,,9000,,,A230351-2108,23 03 51,-21 08 52,40.78522,-64.79364,,,,,,,,,,,,,,,D,
SN 1996Z,09 36 44.82,-21 08 51.7,Ia,1996-05-13,14.63,,B,,2275,Y,,NGC2935,09 36 45,-21 07 42,253.60838,22.55839,,SBb,3.2,43,,,,12.18,1.59,,,70.00,,S,,
SN 2007ho,21 22 50.97,-21 08 42.5,Ia,2007-08-31,19.50,D,R,,21000,,,A212250-2108,21 22 50,-21 08 42,28.26800,-42.36458,,,,,,,,,,,,,,,D,
SN 1962H,13 24 33.00,-21 08 13.0,II,1962-06-28,13.00,D,,,2662,,,IC4237,13 24 33,-21 08 13,313.19315,41.07413,G,SBb,3.2,54,140,,,13.31,1.34,19.00,W,3.00,,S,D,
SN 2006hb,05 02 01.28,-21 07 55.1,Ia,2006-09-27,15.70,D,,,4584,,,M-04-12-34,05 02 01,-21 08 14,221.54099,-33.08138,,E/S0,-2.6,45,67,,,13.92,0.99,8.60,E,18.20,,N,D,
SN 1975F,09 36 45.00,-21 07 42.0,Pec,1975-05-14,15.00,D,V,,2275,Y,,NGC2935,09 36 45,-21 07 42,253.59373,22.57225,G,SBb,3.2,43,,,,12.18,1.59,5.00,E,10.00,,S,D,
SN 2015H,10 54 42.16,-21 04 13.8,Ia pec,2015-02-10,16.90,D,,,3806,Y,,NGC3464,10 54 40,-21 04 00,269.58485,34.13378,,SBc,5.0,50,112,,,13.00,1.41,30.00,E,14.00,,S,D,
SN 2002J,10 54 38.36,-21 03 53.6,Ic,2002-01-21,16.80,D,,,3806,Y,,NGC3464,10 54 40,-21 04 00,269.56610,34.13081,,SBc,5.0,50,112,,,13.00,1.41,23.50,W,6.10,,N,D,
SN 2002hy,10 54 39.18,-21 03 41.2,Ib pec,2002-11-12,16.40,D,,,3806,Y,,NGC3464,10 54 40,-21 04 00,269.56719,34.13542,,SBc,5.0,50,112,,,13.00,1.41,14.80,W,17.00,,N,D,
SN 2002fi,02 33 54.40,-21 02 29.4,Ia,2002-09-13,18.50,D,,,17067,,,M-04-07-10,02 33 56,-21 02 36,203.89195,-65.88294,,Sab,2.4,44,67,,,15.67,0.96,19.40,W,6.70,,N,D,
SN 2013gj,02 41 10.00,-21 01 29.2,II,2013-11-10,17.50,D,,,7500,,,A024110-2101,02 41 10,-21 01 29,205.18960,-64.27935,,,,,,:,,,,,,,,,D,
SN 2006qq,05 19 50.43,-20 58 06.4,IIn,2006-11-30,17.00,D,,,8688,,,E553-G36,05 19 50,-20 58 02,223.00501,-29.11399,,Sb,3.4,75,134,,,15.85,0.99,7.00,E,4.20,,S,D,
